date,cpi_index,eur_chf,usd_chf,unemployment_total,gdp,is_quarter_end,log_cpi,log_eur,log_usd,log_unemp,log_gdp,log_cpi_std,log_eur_std,log_usd_std,log_unemp_std,log_gdp_std
2003-10-31,95.6525,1.5481,1.3224,3.946988,131536.267217368,FALSE,4.56072183250236,0.437028372564283,0.279448267524677,1.37295275639233,11.7870378889049,-1.61278430315127,1.22547214343478,1.58182979685205,-1.30376775057158,-1.61512846129759
2003-11-30,95.5322,1.5587,1.3318,3.946988,,FALSE,4.55946336343159,0.443852140512868,0.286531410694385,1.37295275639233,,-1.65325739353608,1.26345868806132,1.62716246171249,-1.30376775057158,
2003-12-31,95.5508,1.5549,1.2664,3.946988,,TRUE,4.55965804323103,0.441411234881634,0.236178229584665,1.37295275639233,,-1.64699637902084,1.24987065702206,1.30489820286394,-1.30376775057158,
2004-01-31,95.2265,1.5661,1.2417,3.946988,132404.947211202,FALSE,4.55625826440653,0.448588452490251,0.216481408440659,1.37295275639233,11.7936202874305,-1.75633522480484,1.28982478486439,1.17883702206557,-1.30376775057158,-1.56403788266498
2004-02-29,95.2425,1.5731,1.2436,3.946988,,FALSE,4.55642627074916,0.453048194846322,0.218010399202462,1.37295275639233,,-1.7509320440286,1.31465127417473,1.18862268135818,-1.30376775057158,
2004-03-31,95.4465,1.5666,1.2767,3.946988,,TRUE,4.55856588108667,0.448907665951001,0.244278623844168,1.37295275639233,,-1.68212094283441,1.29160178204008,1.356741353483,-1.30376775057158,
2004-04-30,96.2516,1.5547,1.2965,3.946988,133554.129814296,FALSE,4.56696559640635,0.441282600973558,0.259668325996582,1.37295275639233,11.8022621414168,-1.41198125864456,1.24915457791058,1.45523663915801,-1.30376775057158,-1.49696243609286
2004-05-31,96.474,1.5408,1.2828,3.946988,,FALSE,4.56927354199033,0.432301762061724,0.249045188836863,1.37295275639233,,-1.33775639893733,1.19916005279211,1.38724773859652,-1.30376775057158,
2004-06-30,96.6405,1.5187,1.251,3.946988,,TRUE,4.57099790801418,0.417854705754087,0.223943231484774,1.37295275639233,,-1.28229979411413,1.11873619411357,1.22659326745017,-1.30376775057158,
2004-07-31,95.6291,1.5268,1.2438,3.946988,133392.783935638,FALSE,4.56047716704455,0.423174041888938,0.218171209687652,1.37295275639233,11.8010533175646,-1.62065288523863,1.14834786921632,1.18965188091782,-1.30376775057158,-1.50634495977837
2004-08-31,95.9834,1.5381,1.2629,3.946988,,FALSE,4.56417525984936,0.430547888475628,0.233410663669987,1.37295275639233,,-1.50172008997411,1.18939659105813,1.28718556666794,-1.30376775057158,
2004-09-30,95.989,1.5431,1.2631,3.946988,,TRUE,4.56423360156933,0.433793380095022,0.233569016797792,1.37295275639233,,-1.49984378664615,1.20746359057572,1.28819903895,-1.30376775057158,
2004-10-31,96.8889,1.5427,1.235,3.946988,133697.24084175,FALSE,4.57356496125165,0.433534128035757,0.211070970079941,1.37295275639233,11.8033331259418,-1.19974188298531,1.20602038647015,1.14420979753008,-1.30376775057158,-1.48864977941033
2004-11-30,96.9819,1.5221,1.1732,3.946988,,FALSE,4.57452436315368,0.420090960303484,0.159735058121159,1.37295275639233,,-1.16888696505531,1.13118497371408,0.815655985137127,-1.30376775057158,
2004-12-31,96.8232,1.5359,1.1453,3.946988,,TRUE,4.57288663498789,0.429116528439446,0.135666611421534,1.37295275639233,,-1.22155724644661,1.18142849743292,0.661616062209729,-1.30376775057158,
2005-01-31,96.3739,1.5467,1.1777,3.946988,134792.955205367,FALSE,4.56823541806998,0.436123629061957,0.163563383865366,1.37295275639233,11.8114952150069,-1.37114306233257,1.22043561820625,0.840157566395704,-1.30376775057158,-1.42529812247722
2005-02-28,96.5857,1.5499,1.1907,3.946988,,FALSE,4.57043069713419,0.438190412720868,0.174541369474992,1.37295275639233,,-1.30054162281393,1.23194098742223,0.910417524518855,-1.30376775057158,
2005-03-31,96.822,1.5489,1.1727,3.946988,,TRUE,4.57287424118727,0.437545001571576,0.159308782484882,1.37295275639233,,-1.2219558382153,1.22834811327854,0.812927788050816,-1.30376775057158,
2005-04-30,97.6145,1.5471,1.1949,3.946988,136171.915802736,FALSE,4.58102604795805,0.436382210742886,0.178062499873571,1.37295275639233,11.821673453218,-0.959789035791035,1.22187509045036,0.932953031773789,-1.30376775057158,-1.34629772806997
2005-05-31,97.5176,1.5448,1.2173,3.946988,,FALSE,4.58003287453384,0.434894452132168,0.196635291433414,1.37295275639233,,-0.991730065332023,1.21359303729653,1.05182033617982,-1.30376775057158,
2005-06-30,97.2984,1.5382,1.2643,3.946988,,TRUE,4.57778254506909,0.430612901640816,0.234518609335715,1.37295275639233,,-1.06410195744911,1.18975850628142,1.29427650473662,-1.30376775057158,
2005-07-31,96.7662,1.5581,1.2937,3.946988,137662.391552437,FALSE,4.57229775975353,0.443467130241172,0.257506329941719,1.37295275639233,11.8325595286944,-1.24049581326496,1.26131541326393,1.44139969696491,-1.30376775057158,-1.2618033157418
2005-08-31,96.9056,1.5526,1.2623,3.946988,,FALSE,4.57373730876452,0.439930944989443,0.232935453776679,1.37295275639233,,-1.19419908767315,1.24163018072311,1.28414418654677,-1.30376775057158,
2005-09-30,97.3296,1.5491,1.2638,3.946988,,TRUE,4.57810315670017,0.43767411713018,0.234123055357218,1.37295275639233,,-1.05379090267256,1.2290668736417,1.29174492863943,-1.30376775057158,
2005-10-31,98.1806,1.5489,1.288,3.946988,139079.085632125,FALSE,4.58680863983552,0.437545001571576,0.253090627682162,1.37295275639233,11.8427980116979,-0.773817549362318,1.22834811327854,1.41313886051704,-1.30376775057158,-1.18233531954874
2005-11-30,97.9047,1.5452,1.3098,3.946988,,FALSE,4.58399455655571,0.435153351809989,0.269874453801816,1.37295275639233,,-0.864320088979191,1.21503427976542,1.52055664755431,-1.30376775057158,
2005-12-31,97.7976,1.5478,1.3047,3.946988,,TRUE,4.58290003686236,0.436834567854222,0.265973129289565,1.37295275639233,,-0.899520472926543,1.22439327156765,1.49558786852666,-1.30376775057158,
2006-01-31,97.6179,1.5491,1.2779,3.946988,140748.235280748,FALSE,4.58106087824237,0.43767411713018,0.245218105632521,1.37295275639233,11.8547280079535,-0.95866887377973,1.2290668736417,1.36275410968931,-1.30376775057158,-1.08973831111477
2006-02-28,97.9221,1.5578,1.3041,3.946988,,FALSE,4.58417226461248,0.443274569503711,0.265513147680719,1.37295275639233,,-0.858604895486681,1.26024346634223,1.49264395060545,-1.30376775057158,
2006-03-31,97.8182,1.5688,1.3047,3.946988,,TRUE,4.58311065379695,0.450310995899999,0.265973129289565,1.37295275639233,,-0.892746910963036,1.29941383780385,1.49558786852666,-1.30376775057158,
2006-04-30,98.6484,1.5749,1.2834,3.946988,141852.069578294,FALSE,4.59156201338119,0.454191778198398,0.249512806334278,1.37295275639233,11.8625400300375,-0.62094631746982,1.3210173728412,1.39024052679596,-1.30376775057158,-1.02910376779284
2006-05-31,98.8457,1.5565,1.2188,3.946988,,FALSE,4.59356004841755,0.442439710899526,0.197866768129417,1.37295275639233,,-0.556688359529407,1.25559597629514,1.05970188240948,-1.30376775057158,
2006-06-30,98.8184,1.56,1.2324,3.946988,,TRUE,4.59328382223209,0.444685821261446,0.208963487740376,1.37295275639233,,-0.565571952802235,1.26809962122299,1.13072174733686,-1.30376775057158,
2006-07-31,98.1449,1.5686,1.2363,3.946988,142789.857194211,FALSE,4.58644495808869,0.450183501796429,0.212123048030744,1.37295275639233,11.8691292983133,-0.78551376387611,1.29870410375495,1.15094317789641,-1.30376775057158,-0.977959868244771
2006-08-31,98.3128,1.5775,1.2305,3.946988,,FALSE,4.5881542323078,0.455841315433231,0.207420590848973,1.37295275639233,,-0.730542520188377,1.33020001507878,1.12084708773781,-1.30376775057158,
2006-09-30,98.1023,1.5837,1.2433,3.946988,,TRUE,4.58601081176029,0.459763881515543,0.217769134976755,1.37295275639233,,-0.79947615993146,1.35203615204285,1.18707857162825,-1.30376775057158,
2006-10-31,98.4347,1.5897,1.26,3.946988,144627.707948042,FALSE,4.58939338417096,0.463545319184689,0.231111720963387,1.37295275639233,11.8819181882484,-0.690690682330044,1.37308665549692,1.27247215529749,-1.30376775057158,-0.878696387870978
2006-11-30,98.3919,1.5922,1.2358,3.946988,,FALSE,4.5889584835968,0.465116707672341,0.211718533644742,1.37295275639233,,-0.704677335363541,1.38183425936645,1.14835425449722,-1.30376775057158,
2006-12-31,98.405,1.5966,1.2078,3.946988,,TRUE,4.5890916157754,0.467876368229562,0.188800522891664,1.37295275639233,,-0.700395727795467,1.39719673501052,1.00167721072653,-1.30376775057158,
2007-01-31,97.7176,1.6157,1.2439,3.946988,145371.600419547,FALSE,4.58208168612069,0.479768299300648,0.218251605233782,1.37295275639233,11.8870485046433,-0.925839104272963,1.46339672506459,1.19016641863952,-1.30376775057158,-0.838876429816526
2007-02-28,97.9109,1.6213,1.2402,3.946988,,FALSE,4.58405788143894,0.483228296573886,0.215272656933641,1.37295275639233,,-0.862283524249855,1.48265783444256,1.17110091880543,-1.30376775057158,
2007-03-31,97.9871,1.6126,1.218,3.946988,,TRUE,4.58483583735317,0.477847783268785,0.197210169287705,1.37295275639233,,-0.837264013827659,1.45270559832932,1.05549959897035,-1.30376775057158,
2007-04-30,99.0963,1.6374,1.2116,3.946988,147699.144134931,FALSE,4.59609210461472,0.493109617960211,0.191941800170945,1.37295275639233,11.9029326738847,-0.475255973380509,1.53766516450404,1.02178162859915,-1.30376775057158,-0.715588331337886
2007-05-31,99.3281,1.65,1.221,3.946988,,FALSE,4.59842851188566,0.500775287912489,0.199670195128568,1.37295275639233,,-0.40011576942245,1.58033840836705,1.07124395487562,-1.30376775057158,
2007-06-30,99.4418,1.6542,1.2332,3.946988,,TRUE,4.59957254840629,0.503317508275669,0.209612417029858,1.37295275639233,,-0.363322895780539,1.59449043815529,1.13487494504773,-1.30376775057158,
2007-07-31,98.8518,1.6567,1.2076,3.946988,149000.960752747,FALSE,4.59362175885903,0.504827671962355,0.188634918850547,1.37295275639233,11.9117080329118,-0.554703716176945,1.60289721586372,1.0006173320377,-1.30376775057158,-0.647476659177375
2007-08-31,98.7412,1.6377,1.2027,3.946988,,FALSE,4.5925022858863,0.493292818473685,0.184569029334434,1.37295275639233,,-0.590706611966076,1.53868500494016,0.974595324240122,-1.30376775057158,
2007-09-30,98.8352,1.6475,1.1861,3.946988,,TRUE,4.59345381660649,0.499258987394525,0.170670614053093,1.37295275639233,,-0.560104835778829,1.57189746815236,0.885644390036958,-1.30376775057158,
2007-10-31,99.6792,1.6704,1.1742,3.946988,150270.205768235,FALSE,4.60195702932475,0.513063118706183,0.160587064647948,1.37295275639233,11.9201903243423,-0.286636615620255,1.648742292603,0.821108892894666,-1.30376775057158,-0.581639688712783
2007-11-30,100.1337,1.6485,1.1234,3.946988,,FALSE,4.60650629299945,0.499865783529649,0.116359801116195,1.37295275639233,,-0.140329674776578,1.57527538027361,0.538050980984338,-1.30376775057158,
2007-12-31,100.3771,1.6586,1.1391,3.946988,,TRUE,4.60893409359228,0.505973873034966,0.130238476923729,1.37295275639233,,-0.0622502089301039,1.60927788685427,0.626875581026357,-1.30376775057158,
2008-01-31,100.0885,1.6189,1.1008,3.946988,151709.528470989,FALSE,4.60605479460649,0.481746906265323,0.0960371881969422,1.37295275639233,11.9297229746428,-0.154850123225807,1.47441123234683,0.407984684358149,-1.30376775057158,-0.507650151636387
2008-02-29,100.2261,1.6087,1.0908,3.946988,,FALSE,4.60742863377391,0.475426399414125,0.0869113719892964,1.37295275639233,,-0.11066666406215,1.43922624109648,0.34957875385424,-1.30376775057158,
2008-03-31,100.565,1.5711,1.012,3.946988,,TRUE,4.61080428460519,0.451776010971415,0.0119285708652738,1.37295275639233,,-0.0021037884417261,1.30756928224571,-0.130316980597316,-1.30376775057158,
2008-04-30,101.3596,1.5954,1.0125,3.946988,153455.272271404,FALSE,4.61867458967518,0.467124488494892,0.0124225199985571,1.37295275639233,11.9411644176942,0.251009757097936,1.39301117165169,-0.127155667888998,-1.30376775057158,-0.418845144826383
2008-05-31,102.1644,1.6245,1.0435,3.946988,,FALSE,4.62658328049141,0.485200076127018,0.0425804475351185,1.37295275639233,,0.505357810352208,1.49363433489701,0.0658574040120767,-1.30376775057158,
2008-06-30,102.3372,1.6138,1.0373,3.946988,,TRUE,4.62827324322154,0.478591646432269,0.0366211834556454,1.37295275639233,,0.559707985427844,1.45684653504766,0.0277176523711728,-1.30376775057158,
